RESDATE,RESCOL,BIDCITY,MONTH,PSTALP,BSTATUS,FAILMON,PO_COST,COST21,COST22,BSTATDT,COST20,TERMDATE,BIDNAME,RESTYPE_II,FAILDATE,RESTYPE1,CHCLASS1,FSL_PROG,BRCERT,CERT,BRDOCKET,COST07,COST08,COST09,L_REPDTE,FRAUD,COST03,COST04,COST05,COST06,RSSDID,COMMENTS,BIDCERT,COSTMOSTRECENTASOF,QBRASSET,URL,RESLOS,MONTHTXT,QBFASSET,QBFEQ,TXHC,QBREQ,COST00,COST01,BIDDOCK,COST02,COST18,COST19,RESCOST,ATFIN,COST14,COST15,COST16,COST17,CITY,R_UPDATE,FAILTXT,COST10,COST98,COST11,COST99,COST12,COST13,COST95,DAY,COST96,COST97,QBFDEP,CLOSCD,FIN2,RESEQ,RESTYPE,CITYST,RESDEP,RESPUT,PTRDATE,COSTMOSTRECENT,FAILDAY,INCTDT,TERMI,FAILYR,DOCKET,RESABAL,RESTYPE_OLD,BANKNO,RESPASS,SAVR,NAME,LOSSSHARE,FAILQTR,BRDATE,BIDSTATE,CROSSS,OBA,COST,UNINSDEP,RESASSET,CHCLASS,FUND,RESADJ,FIN,QBRDEP,CROSS,ID
42601,1153,ZEBULON,,GA,I,8,7947,3290,3290,43435,3290,43374,UNITED BANK,,8/19/2016,PA,NM,,,11297.0,,,,,42551,,,,,,34836,,172,45046,21426,https://fdic.gov/bank/individual/failed/woodburybank.html,892,,21426.0,221,,221,,,,,3290,3290,5225,,,,5225,4915,WOODBURY,45046,,,,,,,,,,,,21122.0,TASNN,10521,1/0/1900,FAILURE,"WOODBURY, GA",20232.55608,0,,3290,,42601,T,2016,,1968,,,16595.67855,DIF,THE WOODBURY BANKING COMPANY,0,3,,GA,,0,3290.0,,20641.59778,NM,5,-35,10521,21122,,4087
42496,1199,RALEIGH,,PA,I,5,16085,10825,10825,43405,10825,43344,FIRST-CITIZENS BANK & TRUST,,5/6/2016,PA,NM,,,35312.0,,,,,42460,,,,,,2897754,,11063,45046,103307,https://www.fdic.gov/bank/individual/failed/firstcornerstone.html,308,,103307.0,2105,,2105,,,,,10825,10825,10823,,,,12482,11544,KING OF PRUSSIA,45046,,,,,,,,,,,,101040.0,TASNN,10520,1/0/1900,FAILURE,"KING OF PRUSSIA, PA",96912.67029,0,,10825,,42496,T,2016,,3548,,,94232.02271,DIF,FIRST CORNERSTONE BANK,0,2,,NC,,0,10825.0,,99244.14242,NM,5,42,10520,101040,,4086
42489,198,PIPERTON,,TN,I,4,7213,10372,10372,43344,10372,43282,THE  BANK OF FAYETTE COUNTY,,4/29/2016,PA,NM,,,9956.0,,,,,42460,,,,,,450650,Updated 8/30 with QBFfail assets/dep/eq,10308,45046,18998,https://www.fdic.gov/bank/individual/failed/trustco.html,364,,18998.0,-1233,,-1233,,,,,10372,10372,7165,,,,10931,10924,MEMPHIS,45046,,,,,,,,,,,,20148.0,PASNN,10519,1/0/1900,FAILURE,"MEMPHIS, TN",20220.91029,0,,10372,,42489,T,2016,,11431,,,4865.89606,DIF,TRUST COMPANY BANK,0,2,,TN,,0,10372.0,,16873.07101,NM,5,-15,10519,20148,,4085
42440,656,RALEIGH,,WI,I,3,11897,11773,11773,43952,11773,43891,FIRST-CITIZENS BANK & TRUST,,3/11/2016,PA,NM,,,20364.0,,,,,42369,,,,,,759540,,11063,45046,67115,https://www.fdic.gov/bank/individual/failed/nmsbank.html,367,,67115.0,3503,,3503,,,,,11562,11763,9584,,,,11846,11633,MILWAUKEE,45046,,,,,,,,,,,,61493.0,TASNN,10518,1/0/1900,FAILURE,"MILWAUKEE, WI",59278.96889,0,,11773,,42440,T,2016,,1772,,,61381.40413,DIF,NORTH MILWAUKEE STATE BANK,0,1,,NC,,0,11773.0,,64175.66478,NM,5,1,10518,61493,,4084
42279,62,LONGVIEW,,WA,I,10,1650,995,995,43070,995,43009,TWIN CITY BANK,,10/2/2015,PA,N,,,35156.0,,,,,42277,,,,,,2911986,,35261,45046,3785,https://fdic.gov/bank/individual/failed/hometownnatl.html,-34,,3785.0,80,,80,,,,,995,995,1614,,,1614,1615,995,LONGVIEW,45046,,,,,,,,,,,,3705.0,PANNN,10517,1/0/1900,FAILURE,"LONGVIEW, WA",3739.0828,0,,995,,42279,T,2015,,897,,,3433.84739,DIF,HOMETOWN NATIONAL BANK,0,4,,WA,,0,995.0,,4353.25973,N,5,6,10517,3705,,4082
42279,7716,ATLANTA,,GA,I,10,68687,27760,27760,43282,27760,43221,FIDELITY BANK,,10/2/2015,PA,NM,,,35259.0,,,,,42277,,,,,,2885171,,21440,45046,286102,https://fdic.gov/bank/individual/failed/bankofgeorgia.html,5626,,286102.0,7052,,7052,,,,,27760,27760,23155,,,23155,28610,28158,PEACHTREE CITY,45046,,,,,,,,,,,,264234.0,TASNN,10516,1/0/1900,FAILURE,"PEACHTREE CITY, GA",266217.04175,33,,27760,,42279,T,2015,,22621,,,250458.68613,DIF,THE BANK OF GEORGIA,0,4,,GA,,0,27760.0,,286400.67761,NM,5,-13,10516,264234,,4083
42195,1610,EVANSVILLE,,CO,I,7,6734,1210,1210,43132,1210,43070,"UNITED FIDELITY BANK, FSB",,7/10/2015,PA,SM,,,34112.0,,,,,42185,,,,,,2380470,,29566,45046,26760,https://www.fdic.gov/bank/individual/failed/premier-co.html,-102,,26760.0,130,,130,,,,,1210,1210,4394,,,4394,4262,1218,DENVER,45046,,,,,,,,,,,,25480.0,TABNN,10515,1/0/1900,FAILURE,"DENVER, CO",25445.3248,42,,1210,,42195,T,2015,,1831,,,25412.02253,DIF,PREMIER BANK,0,3,,IN,,0,1210.0,,28708.91673,SM,5,0,10515,25480,,4081
42132,9836,OAK BROOK,,IL,I,5,24016,20647,20647,44409,20647,44348,REPUBLIC BANK OF CHICAGO,,5/8/2015,PA,NM,,,57772.0,,,,,42094,,,,,,3339925,,19333,45046,90034,https://www.fdic.gov/bank/individual/failed/edgebrook.html,7854,,90034.0,-452,,-452,,,,,20737,20651,16782,,,16782,22216,20788,CHICAGO,45046,,,,,,,,,,,,90007.0,TASNN,10514,1/0/1900,FAILURE,"CHICAGO, IL",89878.86733,3460,,20647,,42132,T,2015,,1741,,,77424.31215,DIF,EDGEBROOK BANK,0,2,,IL,,0,20647.0,,94352.93163,NM,5,-1257,10514,90007,,4080
42062,762440,HATO REY,,PR,A,2,1467918,701618,700453,5537,703101,,BANCO POPULAR DE PUERTO RIC,,2/27/2015,PA,NM,,,32102.0,,,,,42004,,,,,,671576,,34968,45046,5898515,https://www.fdic.gov/bank/individual/failed/doral.html,1106687,,5898515.0,427219,,427219,,,,,696484,693979,748945,,,669343,738253,704776,SAN JUAN,45046,,,,,,,,,,,,4097734.0,PASNN,10513,7/2/3896,FAILURE,"SAN JUAN, PR",3757734.0011,35319,,700453,,42062,,2015,,77015,,,2966490.7112,DIF,DORAL BANK,0,1,,PR,,0,700453.0,,4883091.7319,NM,5,-20087,10513,4097734,,4079
42048,15991,RALEIGH,,GA,I,2,95309,95942,95942,43862,95942,43800,FIRST-CITIZENS BANK & TRUST,,2/13/2015,PA,NM,,,33938.0,,,,,42004,,,,,,2243977,,11063,45046,272311,https://www.fdic.gov/bank/individual/failed/capitolcity.html,18484,,272311.0,3359,,3359,,,,,98785,96014,88935,,,101770,99487,99535,ATLANTA,45046,,,,,,,,,,,,262652.0,TASNN,10512,1/0/1900,FAILURE,"ATLANTA, GA",267015.85356,1756,,95942,,42048,T,2015,,3916,,,249524.54953,DIF,CAPITOL CITY BANK & TRUST COMPANY,0,1,,NC,,0,95942.0,,286238.47801,NM,5,-79,10512,262652,,4078
